"CSF1PO_alleles","CSF1P0_prob","FGA_alleles","FGA_prob","TH01_alleles","TH01_prob","TPOX_alleles","TPOX_prob","VWA_alleles","VWA_prob","D3S1358_alleles","D3S1358_prob","D5S818_alleles","D5S818_prob","D7S820_alleles","D7S820_prob","D8S1179_alleles","D8S1179_prob","D13S317_alleles","D13S317_prob","D16S539_alleles","D16S539_prob","D18S51_alleles","D18S51_prob","D21S11_alleles","D21S11_prob"
"5","0","12.2","0","3","0","4","0","10","0","8","0","6","0","5","0","7","0","5","0","4","0","7","0","12","0"
"6","0","13","0","4","0","5","0","11(13p)","0","8.3","0","7","0","5.2","0","8","0.01786","6","0","5","0","8","0","24","0"
"6.3","0","13.2","0","5","0","6","0","12","0","9","0","8","0","6","0.00246","9","0.0102","7","0","6","0","9","0","24.2","0.0051"
"7","0.00246","14","0","5.3","0","7","0.00246","13","0.0051","10","0","9","0.03077","6.2","0","10","0.10204","7.1","0","7","0","9.2","0","24.3","0"
"7.3","0","14.3","0","6","0.2266","7.3","0","13(15)","0","11","0","10","0.04872","6.3","0","10.2","0","8","0.0949","8","0.0198","10","0","25","0"
"8","0.00493","15","0","6.1","0","8","0.54433","13(15pp)","0","12","0","10.1","0","7","0.01724","11","0.05867","8.1","0","8.3","0","10.2","0.01276","25.1","0"
"8.3","0","15.3","0","6.3","0","9","0.12315","14(16pp)","0.10204","13","0.00246","11","0.41026","7.1","0","12","0.14451","9","0.07653","9","0.10396","11","0.01276","25.2","0"
"9","0.0197","16","0","7","0.17241","10","0.03695","14p(16ppp)","0","14","0.14039","11.1","0","7.3","0","12.3","0","10","0.05102","9.3","0","11.1","0","25.3","0"
"9.1","0","16.1","0","7.1","0","10.1","0","15(17)","0.11224","14.3","0","12","0.35385","8","0.16256","13","0.33939","10p","0","10","0.06683","12","0.12755","26","0"
"9.3","0","16.2","0","7.3","0","10.3","0","15(17p)","0","15","0.24631","12.3","0","8.1","0","14","0.2013","11","0.31888","11","0.27228","12.2","0","26.1","0"
"10","0.25369","17","0","8","0.12562","11","0.25369","15.2","0","15p","0","13","0.14615","8.2","0","15","0.10969","11.1","0","11.3","0","12.3","0","26.2","0"
